epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.046,0.87492,1.81763,1.34027,0.71972,0.4737,0.68231,0.42144,1.13785,2.6918,1.92868,0.00052,0.00052,0.00052
2,188.602,1.02626,1.47067,1.45225,0.59981,0.50932,0.59103,0.33991,1.27228,2.71928,2.08098,0.00103901,0.00103901,0.00103901
3,277.562,1.02463,1.39165,1.47422,0.60411,0.63107,0.63642,0.2252,1.63944,4.13317,2.94132,0.00153664,0.00153664,0.00153664
4,366.151,1.05509,1.34586,1.47767,0.6154,0.61165,0.6079,0.26155,1.80841,2.06021,3.11986,0.0018812,0.0018812,0.0018812
5,455.012,1.07988,1.29841,1.48011,0.67035,0.75728,0.68941,0.35827,1.54366,2.10065,2.22672,0.0018416,0.0018416,0.0018416
6,546.26,1.09719,1.21638,1.46661,0.35061,0.53398,0.37463,0.20708,1.6816,3.2373,2.38769,0.001802,0.001802,0.001802
7,640.44,1.03159,1.15345,1.43478,0.78288,0.66517,0.77701,0.46792,1.33134,1.54878,2.07159,0.0017624,0.0017624,0.0017624
8,731.465,0.99749,1.1249,1.42693,0.79887,0.71845,0.79836,0.4671,1.37491,1.5506,2.09037,0.0017228,0.0017228,0.0017228
9,823.962,1.01891,1.03763,1.41026,0.79042,0.72816,0.79759,0.49179,1.36407,1.64331,1.89423,0.0016832,0.0016832,0.0016832
10,918.566,0.9662,0.98653,1.37068,0.8277,0.69961,0.81127,0.4902,1.26231,1.51308,1.88528,0.0016436,0.0016436,0.0016436
11,1006.14,0.99997,0.99558,1.41034,0.81463,0.76699,0.85722,0.55866,1.12772,1.21463,1.73102,0.001604,0.001604,0.001604
12,1100.57,0.96813,0.96134,1.4019,0.86985,0.77869,0.86646,0.56299,1.13402,1.20156,1.78176,0.0015644,0.0015644,0.0015644
13,1193.8,0.95418,0.92763,1.3664,0.79556,0.6699,0.7598,0.43628,1.45652,1.55641,2.1993,0.0015248,0.0015248,0.0015248
14,1286.07,0.96256,0.94949,1.37937,0.8749,0.74693,0.84863,0.54036,1.15214,1.22077,1.90719,0.0014852,0.0014852,0.0014852
15,1380.21,0.95832,0.91908,1.37821,0.81515,0.80583,0.84392,0.50092,1.28619,1.17332,1.96599,0.0014456,0.0014456,0.0014456
16,1471.21,0.92048,0.88266,1.35083,0.93679,0.73786,0.87659,0.60591,1.11609,1.00395,1.72721,0.001406,0.001406,0.001406
17,1562.9,0.87472,0.88776,1.30836,0.88393,0.81331,0.89871,0.59756,1.13101,1.02672,1.73444,0.0013664,0.0013664,0.0013664
18,1653.72,0.89152,0.81834,1.3131,0.88204,0.79857,0.88313,0.63832,0.97917,0.98191,1.56352,0.0013268,0.0013268,0.0013268
19,1745.01,0.88449,0.8204,1.32247,0.94941,0.72878,0.90594,0.66344,0.95144,0.93992,1.52814,0.0012872,0.0012872,0.0012872
20,1837.26,0.84657,0.74522,1.29719,0.78062,0.85437,0.86082,0.58664,1.09562,1.0688,1.75685,0.0012476,0.0012476,0.0012476
21,1927.08,0.86035,0.76224,1.29504,0.80551,0.8444,0.87844,0.60248,1.06155,0.9621,1.67684,0.001208,0.001208,0.001208
22,2016.15,0.85275,0.82614,1.27508,0.77987,0.8599,0.88729,0.66576,0.92574,0.90923,1.47994,0.0011684,0.0011684,0.0011684
23,2105.96,0.82144,0.75936,1.26917,0.86434,0.81553,0.89993,0.62889,0.98111,0.95261,1.62623,0.0011288,0.0011288,0.0011288
24,2194.37,0.90066,0.7898,1.32589,0.94269,0.83495,0.92019,0.65702,0.94178,0.82919,1.55933,0.0010892,0.0010892,0.0010892
25,2293.08,0.831,0.73863,1.26989,0.83507,0.88487,0.92216,0.66753,0.92364,0.82666,1.53413,0.0010496,0.0010496,0.0010496
26,2395.6,0.82699,0.73668,1.27646,0.91052,0.86408,0.93261,0.6875,0.89803,0.74545,1.50938,0.00101,0.00101,0.00101
27,2486.86,0.77797,0.71002,1.22894,0.91198,0.80478,0.89154,0.64399,0.95418,0.84806,1.62977,0.0009704,0.0009704,0.0009704
28,2576.18,0.80204,0.71591,1.23461,0.88872,0.84466,0.93416,0.68223,0.95056,0.76863,1.56409,0.0009308,0.0009308,0.0009308
29,2666.19,0.77947,0.65296,1.23457,0.87712,0.83162,0.91074,0.66232,0.96938,0.79644,1.57542,0.0008912,0.0008912,0.0008912
30,2757.2,0.77439,0.67066,1.22992,0.95941,0.79612,0.90804,0.68394,0.91026,0.7129,1.53585,0.0008516,0.0008516,0.0008516
31,2844.77,0.74296,0.65552,1.22851,0.91702,0.85437,0.94585,0.68872,0.92646,0.7146,1.52384,0.000812,0.000812,0.000812
32,2932.06,0.7337,0.63264,1.23725,0.86589,0.87764,0.93678,0.70923,0.90803,0.74536,1.47759,0.0007724,0.0007724,0.0007724
33,3020.36,0.74981,0.65603,1.22042,0.89144,0.8835,0.93768,0.71329,0.80269,0.67721,1.42878,0.0007328,0.0007328,0.0007328
34,3108.18,0.73212,0.60317,1.19923,0.91578,0.8932,0.93683,0.69991,0.90049,0.68492,1.47684,0.0006932,0.0006932,0.0006932
35,3195.89,0.74046,0.62963,1.2075,0.90548,0.85437,0.92651,0.70236,0.8037,0.69385,1.37907,0.0006536,0.0006536,0.0006536
36,3287.55,0.69041,0.5954,1.17582,0.87973,0.84466,0.92732,0.71718,0.87703,0.69273,1.47064,0.000614,0.000614,0.000614
37,3380.78,0.71599,0.58476,1.18163,0.9457,0.86408,0.94182,0.72219,0.84793,0.63414,1.44138,0.0005744,0.0005744,0.0005744
38,3469.88,0.69629,0.56693,1.17273,0.91731,0.8835,0.95515,0.74736,0.79942,0.62685,1.40917,0.0005348,0.0005348,0.0005348
39,3557.2,0.70717,0.58636,1.18551,0.95595,0.87379,0.96471,0.75687,0.8169,0.60237,1.43471,0.0004952,0.0004952,0.0004952
40,3644.31,0.68603,0.55041,1.17421,0.93671,0.86219,0.94534,0.72753,0.8083,0.62287,1.42243,0.0004556,0.0004556,0.0004556
41,3729.97,0.59347,0.562,1.13516,0.86434,0.84466,0.88111,0.67465,0.83948,0.85224,1.43824,0.000416,0.000416,0.000416
